2016-10-17 12:03:21 status installed systemd-sysv:amd64 229-4ubuntu11
2016-10-17 12:03:21 startup archives unpack
2016-10-17 12:03:21 upgrade ntpdate:amd64 1:4.2.8p4+dfsg-3ubuntu5.1 1:4.2.8p4+dfsg-3ubuntu5.3
2016-10-17 12:03:21 status half-configured ntpdate:amd64 1:4.2.8p4+dfsg-3ubuntu5.1
2016-10-17 12:03:21 status unpacked ntpdate:amd64 1:4.2.8p4+dfsg-3ubuntu5.1
2016-10-17 12:03:21 status half-installed ntpdate:amd64 1:4.2.8p4+dfsg-3ubuntu5.1
2016-10-17 12:03:21 status triggers-pending man-db:amd64 2.7.5-1
2016-10-17 12:03:21 status half-installed ntpdate:amd64 1:4.2.8p4+dfsg-3ubuntu5.1
2016-10-17 12:03:21 status unpacked ntpdate:amd64 1:4.2.8p4+dfsg-3ubuntu5.3
2016-10-17 12:03:21 status unpacked ntpdate:amd64 1:4.2.8p4+dfsg-3ubuntu5.3
2016-10-17 12:03:21 upgrade open-iscsi:amd64 2.0.873+git0.3b4b4500-14ubuntu3 2.0.873+git0.3b4b4500-14ubuntu3.1
2016-10-17 12:03:21 status half-configured open-iscsi:amd64 2.0.873+git0.3b4b4500-14ubuntu3
2016-10-17 12:03:22 status unpacked open-iscsi:amd64 2.0.873+git0.3b4b4500-14ubuntu3
2016-10-17 12:03:22 status half-installed open-iscsi:amd64 2.0.873+git0.3b4b4500-14ubuntu3
2016-10-17 12:03:22 status triggers-pending systemd:amd64 229-4ubuntu11
2016-10-17 12:03:22 status triggers-pending ureadahead:amd64 0.100.0-19
2016-10-17 12:03:22 status half-installed open-iscsi:amd64 2.0.873+git0.3b4b4500-14ubuntu3
2016-10-17 12:03:22 status unpacked open-iscsi:amd64 2.0.873+git0.3b4b4500-14ubuntu3.1
2016-10-17 12:03:22 status unpacked open-iscsi:amd64 2.0.873+git0.3b4b4500-14ubuntu3.1
2016-10-17 12:03:22 upgrade snap-confine:amd64 1.0.38-0ubuntu0.16.04.10 1.0.43-0ubuntu1~16.04.1
2016-10-17 12:03:22 status half-configured snap-confine:amd64 1.0.38-0ubuntu0.16.04.10
2016-10-17 12:03:22 status unpacked snap-confine:amd64 1.0.38-0ubuntu0.16.04.10
2016-10-17 12:03:22 status half-installed snap-confine:amd64 1.0.38-0ubuntu0.16.04.10
2016-10-17 12:03:22 status half-installed snap-confine:amd64 1.0.38-0ubuntu0.16.04.10
2016-10-17 12:03:22 status unpacked snap-confine:amd64 1.0.43-0ubuntu1~16.04.1
2016-10-17 12:03:22 status unpacked snap-confine:amd64 1.0.43-0ubuntu1~16.04.1
2016-10-17 12:03:22 upgrade ubuntu-core-launcher:amd64 1.0.38-0ubuntu0.16.04.10 1.0.43-0ubuntu1~16.04.1
2016-10-17 12:03:22 status half-configured ubuntu-core-launcher:amd64 1.0.38-0ubuntu0.16.04.10
2016-10-17 12:03:22 status unpacked ubuntu-core-launcher:amd64 1.0.38-0ubuntu0.16.04.10
2016-10-17 12:03:22 status half-installed ubuntu-core-launcher:amd64 1.0.38-0ubuntu0.16.04.10
2016-10-17 12:03:22 status half-installed ubuntu-core-launcher:amd64 1.0.38-0ubuntu0.16.04.10
2016-10-17 12:03:22 status unpacked ubuntu-core-launcher:amd64 1.0.43-0ubuntu1~16.04.1
2016-10-17 12:03:22 status unpacked ubuntu-core-launcher:amd64 1.0.43-0ubuntu1~16.04.1
2016-10-17 12:03:22 upgrade tzdata:all 2016f-0ubuntu0.16.04 2016g-0ubuntu0.16.04
2016-10-17 12:03:22 status half-configured tzdata:all 2016f-0ubuntu0.16.04
2016-10-17 12:03:22 status unpacked tzdata:all 2016f-0ubuntu0.16.04
2016-10-17 12:03:22 status half-installed tzdata:all 2016f-0ubuntu0.16.04
2016-10-17 12:03:23 status half-installed tzdata:all 2016f-0ubuntu0.16.04
2016-10-17 12:03:23 status unpacked tzdata:all 2016g-0ubuntu0.16.04
2016-10-17 12:03:23 status unpacked tzdata:all 2016g-0ubuntu0.16.04
2016-10-17 12:03:23 upgrade kbd:amd64 1.15.5-1ubuntu4 1.15.5-1ubuntu5
2016-10-17 12:03:23 status half-configured kbd:amd64 1.15.5-1ubuntu4
2016-10-17 12:03:23 status unpacked kbd:amd64 1.15.5-1ubuntu4
2016-10-17 12:03:23 status half-installed kbd:amd64 1.15.5-1ubuntu4
2016-10-17 12:03:24 status half-installed kbd:amd64 1.15.5-1ubuntu4
2016-10-17 12:03:24 status unpacked kbd:amd64 1.15.5-1ubuntu5
2016-10-17 12:03:24 status unpacked kbd:amd64 1.15.5-1ubuntu5
2016-10-17 12:03:24 upgrade python3-update-manager:all 1:16.04.3 1:16.04.4
2016-10-17 12:03:24 status half-configured python3-update-manager:all 1:16.04.3
2016-10-17 12:03:24 status unpacked python3-update-manager:all 1:16.04.3
2016-10-17 12:03:24 status half-installed python3-update-manager:all 1:16.04.3
2016-10-17 12:03:24 status half-installed python3-update-manager:all 1:16.04.3
2016-10-17 12:03:24 status unpacked python3-update-manager:all 1:16.04.4
2016-10-17 12:03:24 status unpacked python3-update-manager:all 1:16.04.4
2016-10-17 12:03:24 upgrade update-manager-core:all 1:16.04.3 1:16.04.4
2016-10-17 12:03:24 status half-configured update-manager-core:all 1:16.04.3
2016-10-17 12:03:24 status unpacked update-manager-core:all 1:16.04.3
2016-10-17 12:03:24 status half-installed update-manager-core:all 1:16.04.3
2016-10-17 12:03:24 status half-installed update-manager-core:all 1:16.04.3
2016-10-17 12:03:24 status unpacked update-manager-core:all 1:16.04.4
2016-10-17 12:03:24 status unpacked update-manager-core:all 1:16.04.4
2016-10-17 12:03:24 upgrade google-cloud-sdk:all 127.0.0-0 130.0.0-0
2016-10-17 12:03:24 status half-configured google-cloud-sdk:all 127.0.0-0
2016-10-17 12:03:24 status unpacked google-cloud-sdk:all 127.0.0-0
2016-10-17 12:03:25 status half-installed google-cloud-sdk:all 127.0.0-0
2016-10-17 12:03:31 status half-installed google-cloud-sdk:all 127.0.0-0
2016-10-17 12:03:31 status unpacked google-cloud-sdk:all 130.0.0-0
2016-10-17 12:03:31 status unpacked google-cloud-sdk:all 130.0.0-0
2016-10-17 12:03:31 upgrade grive:amd64 0.5.1-1+git20160905~webupd8~xenial0 0.5.1-1+git20161013~webupd8~xenial0
